,drift,ms
0,353,15
1,1237,29
2,650,12
3,1709,6
4,352,10
5,277,53
6,163,16
7,2082,11
8,355,16
9,718,6
10,732,11
11,1552,13
12,776,13
13,200,33
14,391,25
15,1399,26
16,3355,15
17,1407,20
18,52,17
19,1188,18
20,212,28
21,1180,14
22,6972,15
23,1052,16
24,17,6
25,877,29
26,4830,12
27,23,7
28,33,22
29,296,8
30,679,16
31,150,9
32,779,8
33,629,71
34,94,10
35,78,8
36,130,19
37,524,72
38,42,83
39,152,6
40,114,18
41,23,20
42,60,7
43,66,11
44,106,9
45,714,9
46,393,9
47,1013,29
48,175,34
49,45,15
50,2258,16
51,688,17
52,520,18
53,231,47
54,34,33
55,884,100
56,235,100
57,45,33
58,513,17
59,195,30
60,83,28
61,33,12
62,59,58
63,20,11
64,76,14
65,4585,17
66,1717,21
67,281,20
68,1186,16
69,574,18
70,575,16
71,227,21
72,484,43
73,325,18
74,363,12
75,695,12
76,684,11
77,568,6
78,192,10
79,1868,8
80,1048,59
81,248,17
82,120,21
83,211,21
84,563,6
85,2733,31
86,576,28
87,961,28
88,975,15
89,739,81
90,237,17
91,386,18
92,868,31
93,570,35
94,458,21
95,354,21
96,2088,8
97,878,27
98,301,30
99,94,8
100,90,7
101,31,11
102,174,32
103,168,6
104,177,10
105,1503,11
106,1201,32
107,233,30
108,214,30
109,465,15
110,575,28
111,708,10
112,569,18
113,494,8
114,317,12
115,294,30
116,236,17
117,299,31
118,475,10
119,1161,19
120,343,13
121,149,21
122,161,19
123,561,22
124,360,10
125,435,6
126,730,18
127,110,33
128,1070,30
129,359,13
130,549,29
131,1918,9
132,2903,6
133,3739,25
134,56,35
135,933,28
136,1323,29
137,1023,17
138,807,28
139,562,28
140,757,13
141,660,31
142,1117,23
143,654,29
144,247,30
145,972,10
146,1406,16
147,108,6
148,2184,21
149,2211,9
150,213,31
151,98,22
152,164,21
153,617,7
154,26,14
155,1136,9
156,6155,7
157,224,17
158,272,13
159,735,24
160,646,26
161,540,13
162,179,38
163,4919,30
164,22,21
165,718,15
166,1945,19
167,958,18
168,1075,28
169,1211,8
170,384,31
171,1632,24
172,702,32
173,383,6
174,1214,34
175,1831,31
176,163,33
177,83,31
178,637,9
179,805,19
180,1371,31
181,892,14
182,351,9
183,1042,12
184,801,16
185,1042,10
186,473,19
187,1140,11
188,1442,26
189,879,18
190,1020,8
191,2625,55
192,315,30
193,171,26
194,118,30
195,279,31
196,909,41
197,1852,14
198,888,8
199,249,33
200,1506,15
201,1732,102
202,1357,31
203,144,8
204,106,12
205,507,33
206,243,13
207,932,30
208,1072,7
209,198,24
210,350,29
211,367,32
212,750,14
213,1468,15
214,259,16
215,435,19
216,180,17
217,2686,29
218,117,47
219,228,18
220,146,14
221,278,10
222,1076,29
223,306,31
224,143,15
225,822,30
226,21,14
227,1582,36
228,228,9
229,342,10
230,67,7
231,400,27
232,484,10
233,307,48
234,528,8
235,22,7
236,418,24
237,762,15
238,447,11
239,888,30
240,3403,34
241,431,30
242,383,13
243,99,21
244,228,33
245,310,30
246,412,7
247,869,31
248,327,7
249,126,21
250,82,39
251,44,8
252,20,64
253,103,29
254,189,13
255,107,19
256,22,31
257,1137,21
258,238,29
259,594,19
260,4512,21
261,212,19
262,1118,21
263,78,21
264,145,98
265,28,60
266,130,84
267,749,74
268,61,60
269,49,32
270,340,122
271,194,178
272,701,20
273,65,123
274,49,216
275,50,22
276,451,21
277,92,18
278,1400,26
279,155,40
280,2441,47
281,2162,19
282,96,20
283,693,54
284,37,32
285,70,32
286,62,31
287,1221,23
288,60,23
289,1015,23
290,52,43
291,218,80
292,1124,23
293,57,23
294,1139,115
295,1030,27
296,936,18
297,1720,29
298,3143,7
299,236,19
300,215,18
301,1457,9
302,26,7
303,2280,7
304,726,18
305,114,20
306,616,24
307,148,10
308,2043,20
309,9415,16
310,962,18
311,223,18
312,737,29
313,757,34
314,1421,18
315,181,18
316,629,18
317,1552,31
318,1150,16
319,347,16
320,536,18
321,114,35
322,130,14
323,554,31
324,535,27
325,1360,28
326,926,20
327,230,18
328,778,29
329,714,18
330,618,50
331,168,9
332,24,9
333,1164,33
334,793,14
335,600,20
336,1413,18
337,55,15
338,80,16
339,1359,28
340,534,12
341,631,13
342,812,21
343,327,23
344,500,17
345,548,14
346,621,16
347,169,24
348,211,13
349,509,14
350,610,21
351,663,8
352,528,17
353,264,29
354,242,62
355,813,23
356,226,19
357,870,32
358,597,20
359,228,30
360,380,28
361,256,10
362,1220,25
363,395,117
364,23,56
365,162,23
366,195,14
367,230,15
368,344,10
369,709,21
370,1548,28
371,714,33
372,1366,13
373,264,16
374,344,75
375,42,34
376,327,36
377,272,16
378,718,12
379,387,28
380,384,33
381,230,31
382,678,8
383,374,16
384,362,30
385,275,15
386,320,19
387,364,30
388,343,33
389,366,21
390,1004,21
391,1151,45
392,550,19
393,643,29
394,922,34
395,1299,43
396,1154,31
397,577,34
398,671,32
399,548,36
400,822,34
401,594,32
402,109,9
403,264,32
404,1084,21
405,1473,8
406,500,32
407,663,31
408,407,32
409,646,73
410,74,22
411,156,7
412,23,23
413,363,24
414,598,7
415,835,20
416,873,43
417,129,113
418,271,57
419,149,61
420,541,23
421,103,9
422,144,45
423,394,122
424,302,11
425,61,19
426,54,36
427,447,31
428,782,43
429,149,21
430,642,22
431,21,11
432,65,49
433,265,9
434,361,7
435,142,17
436,132,6
437,73,19
438,915,17
439,408,21
440,220,31
441,852,39
442,1394,20
443,28,10
444,110,33
445,156,10
446,27,6
447,276,9
448,1022,15
449,748,29
450,1038,22
451,55,21
452,692,33
453,437,34
454,428,25
455,69,8
456,283,8
457,1491,32
458,267,12
459,32,9
460,1067,111
461,68,202
462,139,21
463,1007,40
464,1213,17
465,445,42
466,20,33
467,28,26
468,48,13
469,2303,32
470,1979,19
471,313,29
472,533,22
473,1116,116
474,1640,13
475,280,100
476,547,19
477,114,7
478,530,73
479,27,13
480,1124,9
481,72,9
482,143,33
483,485,19
484,36,107
485,568,12
486,24,29
487,104,8
488,106,8
489,982,31
490,337,113
491,15,11
492,15,98
493,367,16
494,898,15
495,359,178
